	(1)	(2)	(3)
VARIABLES	2012	2013	2015
			
elig_2012_3	-0.0143		
	(0.0196)		
runvar_2012	-0.0210*		
	(0.0108)		
TR2012	0.0140		
	(0.0193)		
gender	0.0318***	0.175***	0.00152
	(0.00891)	(0.0106)	(0.0135)
academicparents	0.00477	-0.000335	0.00579
	(0.00945)	(0.0116)	(0.0120)
academic	0.214***	0.0805***	-0.0258*
	(0.00979)	(0.0136)	(0.0140)
uni_found	-0.00705	0.0220	-0.000673
	(0.0123)	(0.0139)	(0.0124)
seoul	0.135***	0.147***	0.0271
	(0.0145)	(0.0166)	(0.0201)
seoul_metro	0.0396***	0.0712***	0.0117
	(0.0131)	(0.0170)	(0.0179)
area_matching	0.0302***	0.00549	0.0150
	(0.00912)	(0.0116)	(0.0119)
2.hsarea_clean	0.0346	0.0275	0.000561
	(0.0212)	(0.0267)	(0.0323)
3.hsarea_clean	0.0656***	0.0955***	-0.00619
	(0.0232)	(0.0291)	(0.0329)
4.hsarea_clean	0.00969	-0.00635	-0.0398
	(0.0267)	(0.0315)	(0.0277)
5.hsarea_clean	0.0214	0.0392	0.0182
	(0.0218)	(0.0298)	(0.0421)
6.hsarea_clean	-0.00180	-0.0562*	-0.0356
	(0.0262)	(0.0297)	(0.0296)
7.hsarea_clean	0.0901***	0.0795**	-0.0105
	(0.0309)	(0.0352)	(0.0331)
8.hsarea_clean	0.00613	-0.00194	-0.00962
	(0.0147)	(0.0180)	(0.0218)
9.hsarea_clean	-0.0849***	-0.0613*	-0.0309
	(0.0275)	(0.0324)	(0.0325)
10.hsarea_clean	-0.0202	-0.0307	0.00560
	(0.0265)	(0.0316)	(0.0381)
11.hsarea_clean	0.0160	0.00761	-0.0623***
	(0.0264)	(0.0326)	(0.0201)
12.hsarea_clean	-0.0762***	-0.0547*	-0.0221
	(0.0244)	(0.0289)	(0.0309)
13.hsarea_clean	-0.0341	0.0139	-0.0635***
	(0.0235)	(0.0331)	(0.0208)
14.hsarea_clean	-0.0121	0.0108	-0.0587***
	(0.0219)	(0.0290)	(0.0212)
15.hsarea_clean	0.0424**	0.0344	-0.0126
	(0.0214)	(0.0255)	(0.0288)
16.hsarea_clean	0.0236	0.00265	-0.0640***
	(0.0390)	(0.0545)	(0.0214)
17.hsarea_clean	-0.0187	0.171	-0.0605**
	(0.165)	(0.195)	(0.0235)
elig_2013plus_456		0.0138	
		(0.0269)	
runvar_2013		0.0189	
		(0.0215)	
TR2013		-0.00840	
		(0.0251)	
elig_2015plus_7			0.00927
			(0.0262)
runvar_2015			0.00160
			(0.0136)
o.TR2015			-
			
Constant	0.119***	0.0330	0.0571**
	(0.0238)	(0.0345)	(0.0264)
			
Observations	10,493	6,379	1,586
R-squared	0.068	0.073	0.020
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
