	(1)	(2)	(3)
VARIABLES	2012	2013	2015
			
elig_2012_3	-0.0530		
	(0.0492)		
runvar_2012	-0.0577**		
	(0.0269)		
TR2012	0.0216		
	(0.0495)		
gender	0.138***	0.366***	-0.000833
	(0.0221)	(0.0243)	(0.0309)
academicparents	0.00288	-0.00722	0.0168
	(0.0237)	(0.0271)	(0.0239)
academic	0.415***	0.110***	-0.0452
	(0.0245)	(0.0325)	(0.0281)
uni_found	0.0105	0.0319	-0.0150
	(0.0296)	(0.0320)	(0.0380)
seoul	0.251***	0.232***	0.0477
	(0.0366)	(0.0370)	(0.0640)
seoul_metro	0.0630*	0.148***	0.0270
	(0.0324)	(0.0393)	(0.0420)
area_matching	0.0575**	0.0139	0.0246
	(0.0227)	(0.0268)	(0.0240)
2.hsarea_clean	0.0560	0.0353	0.0542
	(0.0522)	(0.0597)	(0.0947)
3.hsarea_clean	0.0699	0.244***	0.0358
	(0.0558)	(0.0719)	(0.125)
4.hsarea_clean	0.0837	-0.0116	-0.0976*
	(0.0713)	(0.0720)	(0.0541)
5.hsarea_clean	0.0179	0.0790	0.00547
	(0.0533)	(0.0703)	(0.0761)
6.hsarea_clean	-0.00843	-0.105	-0.0667
	(0.0675)	(0.0699)	(0.0685)
7.hsarea_clean	0.0745	0.110	-0.0309
	(0.0681)	(0.0761)	(0.0726)
8.hsarea_clean	0.0145	-0.0110	-0.0453
	(0.0379)	(0.0410)	(0.0452)
9.hsarea_clean	-0.217***	-0.160**	-0.0599
	(0.0619)	(0.0705)	(0.0677)
10.hsarea_clean	-0.0537	-0.0646	-0.0201
	(0.0664)	(0.0730)	(0.0709)
11.hsarea_clean	0.0185	0.0617	-0.119**
	(0.0643)	(0.0801)	(0.0496)
12.hsarea_clean	-0.148**	-0.0959	-0.0547
	(0.0626)	(0.0702)	(0.0647)
13.hsarea_clean	-0.111*	-0.0227	-0.123**
	(0.0575)	(0.0719)	(0.0506)
14.hsarea_clean	-0.0470	-0.00382	-0.112**
	(0.0559)	(0.0642)	(0.0572)
15.hsarea_clean	0.0617	0.0575	-0.0459
	(0.0529)	(0.0591)	(0.0608)
16.hsarea_clean	-0.00813	-0.0852	-0.124**
	(0.0903)	(0.106)	(0.0534)
17.hsarea_clean	-0.118	0.148	-0.122**
	(0.331)	(0.348)	(0.0572)
elig_2013plus_456		0.0397	
		(0.0614)	
runvar_2013		0.0521	
		(0.0497)	
TR2013		-0.0269	
		(0.0579)	
elig_2015plus_7			-0.0156
			(0.0478)
runvar_2015			-0.0143
			(0.0260)
o.TR2015			-
			
Constant	0.275***	0.129	0.131**
	(0.0583)	(0.0782)	(0.0573)
			
Observations	10,493	6,379	1,586
R-squared	0.045	0.050	0.017
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
