	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	LoA	Semesters	GPA	LoA	Semesters	GPA	LoA	GPA
								
elig_2012_3	-0.00135	-0.00652	-0.00159					
	(0.0121)	(0.0303)	(0.0264)					
o.runvar_2012	-	-	-					
								
o.TR2012	-	-	-					
								
gender	0.0283**	0.130***	0.157***	0.188***	0.401***	0.109***	0.00175	0.118
	(0.0121)	(0.0300)	(0.0261)	(0.0153)	(0.0350)	(0.0374)	(0.0197)	(0.0893)
academicparents	0.00367	0.0331	0.00601	-0.00181	0.0186	0.0191	-0.00252	0.219**
	(0.0131)	(0.0332)	(0.0280)	(0.0171)	(0.0397)	(0.0376)	(0.0180)	(0.0854)
academic	0.200***	0.382***	-0.230***	0.0730***	0.0838*	-0.150***	-0.0250	-0.416***
	(0.0134)	(0.0335)	(0.0309)	(0.0209)	(0.0495)	(0.0495)	(0.0212)	(0.0935)
uni_found	-0.00625	0.0187	-0.0907***	0.0386**	0.0562	-0.0793*	-0.00630	-0.0417
	(0.0167)	(0.0404)	(0.0325)	(0.0193)	(0.0450)	(0.0427)	(0.0194)	(0.0963)
seoul	0.153***	0.309***	0.0249	0.161***	0.255***	0.101**	0.0218	-0.0908
	(0.0203)	(0.0518)	(0.0416)	(0.0234)	(0.0515)	(0.0478)	(0.0263)	(0.116)
seoul_metro	0.0559***	0.107**	-0.0383	0.0758***	0.148***	-0.0104	0.0414	-0.109
	(0.0184)	(0.0456)	(0.0410)	(0.0246)	(0.0560)	(0.0558)	(0.0262)	(0.112)
area_matching	0.0258**	0.0597*	-0.0192	-0.0214	-0.0372	-0.0225	0.0258	-0.136*
	(0.0125)	(0.0310)	(0.0268)	(0.0167)	(0.0385)	(0.0366)	(0.0179)	(0.0798)
2.hsarea_clean	0.0432	0.0789	0.0856	0.0526	0.102	0.0650	0.0155	-0.138
	(0.0290)	(0.0712)	(0.0621)	(0.0385)	(0.0844)	(0.0835)	(0.0470)	(0.187)
3.hsarea_clean	0.0932***	0.166**	0.0316	0.123***	0.309***	0.0779	1.73e-05	-0.0466
	(0.0327)	(0.0808)	(0.0662)	(0.0429)	(0.107)	(0.0907)	(0.0431)	(0.209)
4.hsarea_clean	0.0368	0.151	0.106	0.0151	0.0472	0.0284	-0.00254	0.0126
	(0.0370)	(0.0987)	(0.0769)	(0.0452)	(0.105)	(0.0983)	(0.0522)	(0.218)
5.hsarea_clean	0.0168	0.00193	0.0597	0.0726	0.205*	0.00772	0.0226	0.0602
	(0.0290)	(0.0688)	(0.0665)	(0.0450)	(0.111)	(0.0878)	(0.0667)	(0.162)
6.hsarea_clean	0.0239	0.0452	0.0369	-0.0474	-0.0733	0.135	-0.0211	0.0355
	(0.0369)	(0.0956)	(0.0775)	(0.0427)	(0.101)	(0.103)	(0.0443)	(0.189)
7.hsarea_clean	0.0886**	0.103	0.119	0.160***	0.314***	0.0207	-0.0112	-0.0347
	(0.0435)	(0.0934)	(0.0868)	(0.0495)	(0.110)	(0.0933)	(0.0408)	(0.237)
8.hsarea_clean	-0.0144	-0.0375	0.0572	0.0143	0.0377	0.0125	-0.0114	0.0999
	(0.0204)	(0.0516)	(0.0468)	(0.0257)	(0.0570)	(0.0544)	(0.0280)	(0.119)
9.hsarea_clean	-0.0895**	-0.216**	0.0344	-0.0850**	-0.157	0.147	-0.0302	-0.113
	(0.0371)	(0.0844)	(0.0935)	(0.0433)	(0.0994)	(0.105)	(0.0460)	(0.242)
10.hsarea_clean	-0.0123	0.00384	-0.0573	-0.0357	-0.101	0.0881	0.0316	-0.0518
	(0.0367)	(0.0968)	(0.0844)	(0.0460)	(0.0956)	(0.116)	(0.0602)	(0.261)
